id,equ_str,equ_prefix,sol_str,sol_prefix
27248,2*x^2 + x*y' - y = 0,add add mul -1 y mul 2 pow x 2 mul x y',-x^2 + x*(c - x),add mul -1 pow x 2 mul x sub c x
27249,5*x^2 - x*y' + y - 5 = 0,add add add -5 mul 5 pow x 2 mul mul -1 x y' y,x*(c + 5*x) + 5,add 5 mul x add c mul 5 x
27250,x^2 + x*y' - y + 4 = 0,add sub add 4 pow x 2 y mul x y',-x*(c + x) + x + 4,add add 4 x mul mul -1 x add c x
27251,x^2*y' + 4 = 0,add 4 mul pow x 2 y',(c*x + 4)/x,mul pow x -1 add 4 mul c x
27252,-18*x + y' + 9 = 0,add add 9 mul -18 x y',c + 9*x^2 - 9*x,add add c mul -9 x mul 9 pow x 2
27253,-x*ln(x + y) + x*y' + x - y*ln(x + y) = 0,add add add x mul x y' mul mul -1 x log add x y mul mul -1 y log add x y,2^(c*x) - x,sub pow 2 mul c x x
27254,5*x*cos(x) + 5*sin(x) + y' = 0,add add mul 5 sin x mul mul 5 x cos x y',c - 5*x*sin(x),add c mul mul -5 x sin x
27255,5*y' - 7 = 0,add -7 mul 5 y',c + 7*x/5,add c mul div 7 5 x
27256,y*y' - 2 = 0,add -2 mul y' y,sqrt(c + 4*x),sqrt add c mul 4 x
27257,5*x^2*y' + 3 = 0,add 3 mul mul 5 pow x 2 y',c - (4*x - 12)/(20*x),add c mul div div -1 20 x add -12 mul 4 x
27258,y*sin(x) - cos(x)*y' + 3*y' = 0,add add mul 3 y' mul y sin x mul mul -1 y' cos x,c/(3 - cos(x)),div c sub 3 cos x
27259,x*y' + 2*x - 3*y - 27 = 0,add add add -27 mul -3 y mul 2 x mul x y',c*x^3 + x - 9,add add -9 x mul c pow x 3
27260,10*x^10*e^(x^10) - x*y' + y - e^(x^10) = 0,add add add mul -1 exp pow x 10 mul mul -1 x y' mul mul 10 pow x 10 exp pow x 10 y,c*x + e^(x^10),add mul c x exp pow x 10
27261,x^3 + x*y' - 2*y = 0,add add pow x 3 mul -2 y mul x y',x*(c*x - x^2),mul x add mul -1 pow x 2 mul c x
27262,5*x^4 + 2*x + y' - 1 = 0,add add add -1 mul 2 x mul 5 pow x 4 y',c - x^5 - x^2 + x,sub sub add c x pow x 2 pow x 5
27263,x*y' - 23*y = 0,add mul -23 y mul x y',c*x^23,mul c pow x 23
27264,-2*x + y' - 4 = 0,add add -4 mul -2 x y',c + x*(x + 4 + 3/x),add c mul x add add 4 x div 3 x
27265,16*x^3 + x*y' - y - 2 = 0,add add sub -2 y mul 16 pow x 3 mul x y',c*x - 8*x^3 - x - 2,add add sub -2 x mul -8 pow x 3 mul c x
27266,-2*x + y' + 3 = 0,add add 3 mul -2 x y',x*(c/x + x - 3),mul x add add -3 x div c x
27267,x - 3*y' + 1 = 0,add add 1 x mul -3 y',c + x*(x/6 + 1/3),add c mul x add div 1 3 mul div 1 6 x
27268,6*y + y' = 0,add mul 6 y y',e^(-5*x)*e^(c - x),mul exp mul -5 x exp sub c x
27269,-x^x*(ln(x) + 1)*y - x^x*y' - 4*y' = 0,add add mul -4 y' mul mul -1 pow x x y' mul mul mul -1 pow x x add 1 log x y,c/(-x^x - 4),div c sub -4 pow x x
27270,5^x*x*ln(5) + 5^x + y' = 0,add add pow 5 x mul mul x pow 5 x log 5 y',-5^x*x + c,add c mul mul -1 x pow 5 x
27271,4*x^x*(ln(x) + 1) + y' + 8 = 0,add add 8 mul mul 4 pow x x add 1 log x y',c - 8*x - 4*x^x,add add c mul -8 x mul -4 pow x x
27272,2*x*y*cos(x^2 + 3) + 4*x*cos(x^2 + 3) - sin(x^2 + 3)*y' = 0,add add mul mul -1 y' sin add 3 pow x 2 mul mul 4 x cos add 3 pow x 2 mul mul mul 2 x cos add 3 pow x 2 y,c*sin(x^2 + 3) - 2,add -2 mul c sin add 3 pow x 2
27273,9*x*y' + 9*y + 82*y' = 0,add add mul 9 y mul 82 y' mul mul 9 x y',c/(x + 82/9),div c add div 82 9 x
27274,x*y' - y + 5 = 0,add sub 5 y mul x y',-x*(c - 5/x) + x,add x mul mul -1 x add c div -5 x
27275,sqrt(2)*y' - 2 = 0,add -2 mul sqrt 2 y',sqrt(2)*(c + x),mul sqrt 2 add c x
27276,4*x - 10*y' - 3 = 0,add add -3 mul -10 y' mul 4 x,c + x*(x - 3/2)/5,add c mul mul div 1 5 x add div -3 2 x
27277,3*x + y + e^(x) - y' + 9 = 0,add add add sub 9 y' mul 3 x exp x y,-3*x + (c + x)*e^(x) - 12,add add -12 mul -3 x mul add c x exp x
27278,20*x^4 + y' + 4 = 0,add add 4 mul 20 pow x 4 y',c - 4*x^5 - 4*x,add add c mul -4 x mul -4 pow x 5
27279,x*y' + 5*y + 30 = 0,add add 30 mul 5 y mul x y',c/x^5 - 6,add -6 mul c pow x -5
27280,-8*y^2 + y' = 0,add mul -8 pow y 2 y',x/(c*x - 8*x^2 + x),div x add add x mul -8 pow x 2 mul c x
27281,5*y' - 41 = 0,add -41 mul 5 y',c + 41*x/5,add c mul div 41 5 x
27282,2*x*y + 4*x - y' = 0,add add mul -1 y' mul 4 x mul mul 2 x y,c*e^(x^2) - 2,add -2 mul c exp pow x 2
27283,10*x*y' + 10*y + cos(2) = 0,add add mul 10 y mul mul 10 x y' cos 2,(c - x/2)*cos(2)/(5*x),mul mul div div 1 5 x add c mul div -1 2 x cos 2
27284,2*x^3 - x*y' + y + 5 = 0,add add add 5 mul 2 pow x 3 mul mul -1 x y' y,c*x + x^3 - x - 5,add sub add -5 pow x 3 x mul c x
27285,x*y' - y + 45 = 0,add sub 45 y mul x y',c*x + 45,add 45 mul c x
27286,5*x*y' + 5*y + 3 = 0,add add 3 mul 5 y mul mul 5 x y',c/x - 3/5,add div -3 5 div c x
27287,x*y' - 2*y - 2 = 0,add add -2 mul -2 y mul x y',x*(c*x - x)/4 - 1,add -1 mul mul div 1 4 x add mul -1 x mul c x
27288,2*x^3 - x*y' + 2*y + 4 = 0,add add add 4 mul 2 pow x 3 mul 2 y mul mul -1 x y',x^2*(c + 2*x) - 2,add -2 mul pow x 2 add c mul 2 x
27289,-10*x + e^(y)*y' - 1 = 0,add add -1 mul -10 x mul y' exp y,ln(c + 5*x^2 + x),log add add c x mul 5 pow x 2
27290,-40*x^39 + 2*x + y' = 0,add add mul -40 pow x 39 mul 2 x y',c + x^40 - x^2,sub add c pow x 40 pow x 2
27291,-3*e^(4*y) + 2*y' = 0,add mul -3 exp mul 4 y mul 2 y',-ln(c - 6*x)/4,mul div -1 4 log add c mul -6 x
27292,x*y' + y + 4 = 0,add add 4 mul x y' y,-2*(c + 2*x)/x,mul div -2 x add c mul 2 x
27293,17*x^2*y' - sin(2) = 0,add mul -1 sin 2 mul mul 17 pow x 2 y',c - sin(2)/(17*x),add c mul div div -1 17 x sin 2
27294,2^x*x*ln(2) - 2^x - x*y' + y = 0,add add add mul -1 pow 2 x mul mul -1 x y' mul mul x pow 2 x log 2 y,2^x + c*x + x,add add x pow 2 x mul c x
27295,y*e^(x - 18/5) + e^(x - 18/5)*y' - 4*y' = 0,add add mul -4 y' mul y' exp add div -18 5 x mul exp add div -18 5 x y,c/(e^(x - 18/5) - 4),div c add -4 exp add div -18 5 x
27296,x^2*y' - 30 = 0,add -30 mul pow x 2 y',c + (10*x - 30)/x,add c mul pow x -1 add -30 mul 10 x
27297,-8*e^(8*x) + y' = 0,add mul -8 exp mul 8 x y',c + e^(8*x),add c exp mul 8 x
27298,2^sin(5)*x*y' - 2^sin(5)*y + y' = 0,add add mul mul -1 pow 2 sin 5 y mul mul x pow 2 sin 5 y' y',c*(x + 2^(-sin(5))),mul c add x pow 2 mul -1 sin 5
27299,-sqrt(2)*x + y' = 0,add mul mul -1 x sqrt 2 y',c + sqrt(2)*x^2/2,add c mul mul div 1 2 sqrt 2 pow x 2
27300,4*x*y - y' = 0,add mul -1 y' mul mul 4 x y,e^(c + 2*x^2),exp add c mul 2 pow x 2
27301,4*x*y' + 4*y - y' = 0,add add mul -1 y' mul 4 y mul mul 4 x y',c/(1/4 - x),div c sub div 1 4 x
27302,x^3*y' - 3*x^2*y + y' = 0,add add mul pow x 3 y' mul mul -3 pow x 2 y y',c*(x*(x^2 + 1) - x + 1),mul c add sub 1 x mul x add 1 pow x 2
27303,2*x*y' - y - 4 = 0,add sub -4 y mul mul 2 x y',sqrt(c*x) - 4,add -4 sqrt mul c x
27304,x*y' - y*ln(y/x) - y + y*ln(3) = 0,add add add mul -1 y mul x y' mul y log 3 mul mul -1 y log mul pow x -1 y,3*3^(c*x)*x,mul mul 3 x pow 3 mul c x
27305,x*y' - y - 11 = 0,add sub -11 y mul x y',x*(c - 15/x) + 4,add 4 mul x add c div -15 x
27306,5*x^5*sin(x)^4*cos(x) + 5*x^4*sin(x)^5 + y' = 0,add add mul mul 5 pow x 4 pow sin x 5 mul mul mul 5 pow x 5 pow sin x 4 cos x y',c - x^5*sin(x)^5,add c mul mul -1 pow x 5 pow sin x 5
27307,x*y*y' - y^2 + sin(4) = 0,add add mul -1 pow y 2 mul mul x y' y sin 4,sqrt(c*x^2 + sin(4)),sqrt add mul c pow x 2 sin 4
27308,x^3*y' + 32*cos(2 + 8/x^2) = 0,add mul 32 cos add 2 mul 8 pow x -2 mul pow x 3 y',c + 2*sin(2*(x + 4/x)/x),add c mul 2 sin mul div 2 x add x div 4 x
27309,x*y' - y - 4*5^(4/5) + 28 = 0,add add sub 28 y mul -4 pow 5 div 4 5 mul x y',c*x - 4*5^(4/5) + 28,add add 28 mul -4 pow 5 div 4 5 mul c x
27310,x^4*e^(x^(-3))*y' - 3*y*ln(2) - 6*ln(2) = 0,add add mul -6 log 2 mul mul -3 y log 2 mul mul pow x 4 y' exp pow x -3,2^e^(-1/x^3)*c - 2,add -2 mul c pow 2 exp mul -1 pow x -3
27311,x^3 - x*y' + x + 2*y - 2 = 0,add add add add -2 x pow x 3 mul 2 y mul mul -1 x y',x^2*(c + x) - x + 1,add sub 1 x mul pow x 2 add c x
27312,-y^2 + 20*y' = 0,add mul -1 pow y 2 mul 20 y',3/(c - 3*x/20),div 3 add c mul div -3 20 x
27313,2*x^2 - 3*x*y' + 3*y = 0,add add mul 2 pow x 2 mul 3 y mul mul -3 x y',x*(c + 2*x/3) + 2*x,add mul 2 x mul x add c mul div 2 3 x
27314,15*x*y' - 30*y*ln(-30*y - 1) + 30*y*ln(2) - ln(-30*y - 1) + ln(2) = 0,add add add add mul -1 log add -1 mul -30 y mul mul -30 y log add -1 mul -30 y mul mul 15 x y' mul mul 30 y log 2 log 2,-e^(c*x^2)/15 - 1/30,add div -1 30 mul div -1 15 exp mul c pow x 2
27315,2*x^2 - 4*x - y + y' = 0,add add add mul -1 y mul -4 x mul 2 pow x 2 y',c*e^(x) + 2*x^2,add mul 2 pow x 2 mul c exp x
27316,-y*ln(cos(1)) + y' - 3*ln(cos(1)) = 0,add add mul -3 log cos 1 mul mul -1 y log cos 1 y',c*cos(1)^x - 3,add -3 mul c pow cos 1 x
27317,2*x + 4*y' - 9 = 0,add add -9 mul 2 x mul 4 y',c + x*(1 - x)/4 + 2*x,add add c mul 2 x mul mul div 1 4 x sub 1 x
27318,4*x^2 + x*sin(x) + x*y' - y + cos(x) = 0,add add add add mul -1 y mul 4 pow x 2 mul x y' mul x sin x cos x,x*(c - 4*x) + cos(x),add mul x add c mul -4 x cos x
27319,6*x^2 - x*y' + y = 0,add add mul 6 pow x 2 mul mul -1 x y' y,-x*(c - 6*x) + x,add x mul mul -1 x add c mul -6 x
27320,2*x^2*cos(x) + 4*x*sin(x) + y' + 2 = 0,add add add 2 mul mul 2 pow x 2 cos x mul mul 4 x sin x y',c - 2*x^2*sin(x) - 2*x,add add c mul -2 x mul mul -2 pow x 2 sin x
27321,x*y' - y*ln(y + 28) + 2*y*ln(2) - 28*ln(y + 28) + 56*ln(2) = 0,add add add add mul -28 log add 28 y mul 56 log 2 mul x y' mul mul -1 y log add 28 y mul mul 2 y log 2,4*2^(c*x) - 28,add -28 mul 4 pow 2 mul c x
27322,-y*ln(2) + y' = 0,add mul mul -1 y log 2 y',2^(x - 2)*c,mul c pow 2 add -2 x
27323,x^2*y' + 5*4^cos(2) = 0,add mul 5 pow 4 cos 2 mul pow x 2 y',c + 5*4^cos(2)/x,add c div mul 5 pow 4 cos 2 x
27324,2*x - x^x*(ln(x) + 1) + y' - 5 = 0,add add add -5 mul 2 x mul mul -1 pow x x add 1 log x y',c - x^2 + 5*x + x^x,add sub add c pow x x pow x 2 mul 5 x
27325,3*x^(x/3)*y' - ln(x) - 1 = 0,add sub -1 log x mul mul 3 pow x mul div 1 3 x y',c - 1/x^(x/3),sub c pow x mul div -1 3 x
27326,54*x + 27*y' - 80 = 0,add add -80 mul 27 y' mul 54 x,-x*(c/x + x - 80/27) + 9,add 9 mul mul -1 x add add div -80 27 x div c x
27327,3*x^2 + 2*x*y' - 2*y = 0,add add mul -2 y mul 3 pow x 2 mul mul 2 x y',x*(c - 3*x/2),mul x add c mul div -3 2 x
27328,40*x + y' - 1 = 0,add add -1 mul 40 x y',c - 20*x^2 + x,add add c x mul -20 pow x 2
27329,-6*x*y^2 + x*y' - 30*y^2 + 2*y = 0,add add add mul -30 pow y 2 mul 2 y mul x y' mul mul -6 x pow y 2,-1/(c*x^2 - 6*x - 15),div -1 add add -15 mul -6 x mul c pow x 2
27330,x*y' - y*e^(4) = 0,add mul x y' mul mul -1 exp 4 y,c*x^e^(4),mul c pow x exp 4
27331,3*x^2 - x*y' + y = 0,add add mul 3 pow x 2 mul mul -1 x y' y,3*x*(c + x),mul mul 3 x add c x
27332,sin(x - 5) + y' - 1 = 0,add add -1 y' sin add -5 x,c + x + cos(x - 5),add add c x cos add -5 x
27333,-2*x + y' + 3 = 0,add add 3 mul -2 x y',c + x^2 - 3*x,add add c pow x 2 mul -3 x
27334,4*x*y' + x - 8*y - 16 = 0,add add add -16 x mul -8 y mul mul 4 x y',c*x^2 + x/4 - 2,add add -2 mul div 1 4 x mul c pow x 2
27335,2*x + y' + 3 = 0,add add 3 mul 2 x y',c - x^2 - 3*x,add sub c pow x 2 mul -3 x
27336,3*x*y' + 6*y - 4 = 0,add add -4 mul 6 y mul mul 3 x y',c/x^2 + 2/3,add div 2 3 mul c pow x -2
27337,-18*x^2 + y' + 1 = 0,add add 1 mul -18 pow x 2 y',c + 6*x^3 - x,add sub c x mul 6 pow x 3
27338,-4*y*ln(2) + y' = 0,add mul mul -4 y log 2 y',-25*2^(c + 4*x),mul -25 pow 2 add c mul 4 x
27339,-y - e^(x) + y' + 3 = 0,add sub sub 3 exp x y y',(c + x)*e^(x) + 3,add 3 mul add c x exp x
27340,x^2*y' - 3 = 0,add -3 mul pow x 2 y',c + (x - 3)/x,add c mul pow x -1 add -3 x
27341,x*y' - y + sin(1) + 2 = 0,add add sub 2 y mul x y' sin 1,c*x + x + sin(1) + 2,add add add 2 x mul c x sin 1
27342,5*x*ln(3) - 5*y*ln(3) + y' - 1 = 0,add add add -1 mul mul -5 y log 3 mul mul 5 x log 3 y',3^(x*(2 - 3*(c - x)/x)) + x,add x pow 3 mul x add 2 mul div -3 x sub c x
27343,x*y' - 4*y - 20 = 0,add add -20 mul -4 y mul x y',c*x^4 - 5,add -5 mul c pow x 4
27344,x^6*y' - 25*y*ln(3) = 0,add mul pow x 6 y' mul mul -25 y log 3,3^(c - 5/x^5),pow 3 add c mul -5 pow x -5
27345,x^33*y' - 32 = 0,add -32 mul pow x 33 y',c - 1/x^32,sub c pow x -32
27346,2*x^2*ln(-x^2 + 2*x + y) - 2*x^2 - 4*x*ln(-x^2 + 2*x + y) + x*y' + 2*x - 2*y*ln(-x^2 + 2*x + y) = 0,add add add add add mul -2 pow x 2 mul 2 x mul x y' mul mul -4 x log add add mul -1 pow x 2 mul 2 x y mul mul -2 y log add add mul -1 pow x 2 mul 2 x y mul mul 2 pow x 2 log add add mul -1 pow x 2 mul 2 x y,3^(c*x^2) + x*(x - 2),add pow 3 mul c pow x 2 mul x add -2 x
27347,x*y' - y + 14 = 0,add sub 14 y mul x y',c*x + 21*x + 14,add add 14 mul 21 x mul c x
27348,4*y*y' - 5*y' - 2 = 0,add add -2 mul -5 y' mul mul 4 y' y,sqrt(c + x) + 5/4,add div 5 4 sqrt add c x
27349,-4*3^(3 - x)*ln(3) + y' - 1 = 0,add add -1 mul mul -4 pow 3 sub 3 x log 3 y',-4*3^(3 - x) + c + x,add add c x mul -4 pow 3 sub 3 x
27350,-4*y^2 + y' = 0,add mul -4 pow y 2 y',4/(c - 16*x),div 4 add c mul -16 x
27351,x^2 + 12*x*y' - 12*y = 0,add add pow x 2 mul -12 y mul mul 12 x y',-x*(c + x)/12,mul mul div -1 12 x add c x
27352,4*x^2 + 5*x*y' - 5*y = 0,add add mul -5 y mul 4 pow x 2 mul mul 5 x y',x*(c - 4*x/5),mul x add c mul div -4 5 x
27353,3*x + 2*y' + 6 = 0,add add 6 mul 2 y' mul 3 x,c - 3*x^2/4 - 3*x,add add c mul -3 x mul div -3 4 pow x 2
27354,8*x + y' - 2 = 0,add add -2 mul 8 x y',c - 4*x^2 + 2*x,add add c mul -4 pow x 2 mul 2 x
27355,2^x*e^(2^x)*ln(2) + y' = 0,add mul mul pow 2 x exp pow 2 x log 2 y',c - e^(2^x),sub c exp pow 2 x
27356,12*x^3 + 6*x - 3*y' - 2 = 0,add add add -2 mul -3 y' mul 6 x mul 12 pow x 3,c + x^4 + x*(x - 2/3),add add c pow x 4 mul x add div -2 3 x
27357,5*x*y' - 5*y - 4 = 0,add add -4 mul -5 y mul mul 5 x y',c*x - x/3 - 4/5,add add div -4 5 mul div -1 3 x mul c x
27358,x*y' - 11*y*ln(y) + 11*y*ln(2) = 0,add add mul x y' mul mul -11 y log y mul mul 11 y log 2,2*3^(c*x^11),mul 2 pow 3 mul c pow x 11
27359,x*e^(5)*y' - y*e^(5) + 2 = 0,add add 2 mul mul -1 exp 5 y mul mul x y' exp 5,x*(c + (x + 2)*e^(-5)/x),mul x add c mul mul pow x -1 add 2 x exp -5
27360,cos(x) + cos(8)*y' = 0,add mul y' cos 8 cos x,c - sin(x)/cos(8),add c mul div -1 cos 8 sin x
27361,2*x^2*ln(3) - x*y*ln(3) + x*y' - 8*x*ln(3) - y - 8 = 0,add add add add sub -8 y mul x y' mul mul -8 x log 3 mul mul 2 pow x 2 log 3 mul mul mul -1 x y log 3,3^x*c*x + 2*x - 8,add add -8 mul 2 x mul mul c x pow 3 x
27362,2*x - 10*y' + 1 = 0,add add 1 mul -10 y' mul 2 x,c + x^2/10 + x/10,add add c mul div 1 10 x mul div 1 10 pow x 2
27363,2^(3*x^6/2)*y' + 9*x^5*ln(2) = 0,add mul pow 2 mul div 3 2 pow x 6 y' mul mul 9 pow x 5 log 2,c + 2^(-3*x^6/2),add c pow 2 mul div -3 2 pow x 6
27364,sin(2*x)^2*y' + 4*cos(2*x) = 0,add mul 4 cos mul 2 x mul pow sin mul 2 x 2 y',c + 2/sin(2*x),add c div 2 sin mul 2 x
27365,x*y' + y + 4*cos(2) = 0,add add mul 4 cos 2 mul x y' y,-2*(c + 2*x)*cos(2)/x,mul mul div -2 x add c mul 2 x cos 2
27366,x*ln(-x + y) + x*y' - x + 5*x*ln(3) - y*ln(-x + y) - 5*y*ln(3) = 0,add add add add add mul -1 x mul x y' mul x log add mul -1 x y mul mul -1 y log add mul -1 x y mul mul -5 y log 3 mul mul 5 x log 3,3^(x*(c - 5/x)) + x,add x pow 3 mul x add c div -5 x
27367,x^2*e^(x) - x*y' + y = 0,add add mul pow x 2 exp x mul mul -1 x y' y,x*(c + e^(x)),mul x add c exp x
27368,2*x*y' - 2*y + 3 = 0,add add 3 mul -2 y mul mul 2 x y',c*x + 3/2,add div 3 2 mul c x
27369,5*x^2 + x*y' - y = 0,add add mul -1 y mul 5 pow x 2 mul x y',x*(c - 5*x) + x,add x mul x add c mul -5 x
27370,x*y' - 2*y = 0,add mul -2 y mul x y',-x*(c*x + x)/5,mul mul div -1 5 x add x mul c x
27371,x*y' - y - cos(2) = 0,add sub mul -1 cos 2 y mul x y',c*x + x - cos(2),add sub x cos 2 mul c x
27372,x*y' - x - 2*y + 12 = 0,add add sub 12 x mul -2 y mul x y',-x*(c*x - x) - x + 6,add sub 6 x mul mul -1 x add mul -1 x mul c x
27373,-x*y' - y - 1 = 0,add sub -1 y mul mul -1 x y',-(c + x)/x,mul div -1 x add c x
27374,x*y' + 2*y - 2*sin(16) = 0,add add mul -2 sin 16 mul 2 y mul x y',c/x^2 + sin(16),add mul c pow x -2 sin 16
27375,4*y' - 5*e^(3) = 0,add mul -5 exp 3 mul 4 y',c + 5*x*e^(3)/4,add c mul mul div 5 4 x exp 3
27376,2*x*y*y' - y^2 - 3 = 0,add sub -3 pow y 2 mul mul mul 2 x y' y,sqrt(c*x - 3),sqrt add -3 mul c x
27377,x*y' + 2*y = 0,add mul 2 y mul x y',20/(x*(c*x + x)),div div 20 x add x mul c x
27378,12*x^3 + y' - 3 = 0,add add -3 mul 12 pow x 3 y',c - 3*x^4 + 3*x,add add c mul -3 pow x 4 mul 3 x
27379,y' - sin(3) = 0,add mul -1 sin 3 y',-(c - x)*sin(3),mul mul -1 sub c x sin 3
27380,3*x^2*y^2 - 4*y' = 0,add mul -4 y' mul mul 3 pow x 2 pow y 2,4/(c - x^3),div 4 sub c pow x 3
27381,e^(x) + 12*y' - 1 = 0,add add -1 mul 12 y' exp x,c + x/12 - e^(x)/12,add add c mul div -1 12 exp x mul div 1 12 x
27382,76*x + 5*y' + 20 = 0,add add 20 mul 5 y' mul 76 x,c + 2*x*(-19*x/5 - 2),add c mul mul 2 x add -2 mul div -19 5 x
27383,64*x^4*y' - 3 = 0,add -3 mul mul 64 pow x 4 y',c - 1/(64*x^3),add c mul div -1 64 pow x -3
27384,x^6*y' - 4 = 0,add -4 mul pow x 6 y',c - 4/(5*x^5),add c mul div -4 5 pow x -5
27385,x*y' + x - 2*y + 40 = 0,add add add 40 x mul -2 y mul x y',c*x^2 + x + 20,add add 20 x mul c pow x 2
27386,3*x*y' - 3*y - 1 = 0,add add -1 mul -3 y mul mul 3 x y',c*x + x - 1/3,add add div -1 3 x mul c x
27387,20^(x + 1)*ln(20) + y' = 0,add mul pow 20 add 1 x log 20 y',-20^(x + 1) + c,sub c pow 20 add 1 x
27388,-x^x*(ln(x) + 1) - e^(x) + y' = 0,add add mul -1 exp x mul mul -1 pow x x add 1 log x y',c + x^x + e^(x),add add c pow x x exp x
27389,x^2 + x*y' - y + 1 = 0,add sub add 1 pow x 2 y mul x y',x*(c - x + (1 - x)/x),mul x add sub c x mul pow x -1 sub 1 x
27390,y' - 1 - sin(2) = 0,add sub -1 sin 2 y',c + x*sin(2) + x,add add c x mul x sin 2
27391,2*x*y' - y = 0,add mul -1 y mul mul 2 x y',3*sqrt(c*x),mul 3 sqrt mul c x
27392,2*x*ln(5) + y*ln(5) + y' + 2 + 5*ln(5) = 0,add add add add 2 mul 5 log 5 mul y log 5 mul mul 2 x log 5 y',-2*x - 5 + c/5^x,add add -5 mul -2 x mul c pow 5 mul -1 x
27393,5*y + y' = 0,add mul 5 y y',e^(c - 5*x),exp add c mul -5 x
27394,x^2*y' + 2*cos(2) = 0,add mul 2 cos 2 mul pow x 2 y',c + 2*cos(2)/x,add c mul div 2 x cos 2
27395,x*y' - 8*x - 5*y - 10 = 0,add add add -10 mul -8 x mul -5 y mul x y',c*x^5 - 2*x - 2,add add -2 mul -2 x mul c pow x 5
27396,-48*x + y' + 4 = 0,add add 4 mul -48 x y',c + 24*x^2 - 4*x,add add c mul -4 x mul 24 pow x 2
27397,x*y' + 3*y + 18 = 0,add add 18 mul 3 y mul x y',c/x^3 - 6,add -6 mul c pow x -3
27398,x*y' + 15*x - 4*y = 0,add add mul -4 y mul 15 x mul x y',c*x^4 + 5*x,add mul 5 x mul c pow x 4
27399,x*y' + y*ln(y) - y*ln(3) + y*ln(2) = 0,add add add mul x y' mul y log 2 mul y log y mul mul -1 y log 3,3*2^((c - x)/x),mul 3 pow 2 mul pow x -1 sub c x
27400,y' - 3*cos(4) = 0,add mul -3 cos 4 y',c + 3*x*cos(4),add c mul mul 3 x cos 4
27401,16*x^2 - 3*x*y' + 3*y = 0,add add mul 3 y mul 16 pow x 2 mul mul -3 x y',16*x*(c + x)/3,mul mul div 16 3 x add c x
27402,x*y' + 1 = 0,add 1 mul x y',ln(5/(c*x + x)),log div 5 add x mul c x
27403,x*cos(x) + y*cos(x) - sin(x)^2 - sin(x)*y' - sin(x) = 0,add add add sub mul -1 pow sin x 2 sin x mul x cos x mul cos x y mul mul -1 y' sin x,-x + (c - x)*sin(x),add mul -1 x mul sub c x sin x
27404,20*y' - 19 = 0,add -19 mul 20 y',c + 19*x/20,add c mul div 19 20 x
27405,x^2*y^2 - 3*x*y' - 6*y^2 - 3*y = 0,add add add mul -6 pow y 2 mul -3 y mul pow x 2 pow y 2 mul mul -3 x y',3/(-x*(c + x) - 2*x - 6),div 3 add add -6 mul -2 x mul mul -1 x add c x
27406,-4*y*ln(5) + y' = 0,add mul mul -4 y log 5 y',-4*5^(c + 4*x),mul -4 pow 5 add c mul 4 x
27407,2*x*y' - y = 0,add mul -1 y mul mul 2 x y',-8*sqrt(2)/sqrt(c/x),mul mul -8 sqrt 2 pow div c x div -1 2
27408,3*5^x*ln(5) - 3*y' + 2 = 0,add add 2 mul -3 y' mul mul 3 pow 5 x log 5,5^x + c + 2*x/3,add add c pow 5 x mul div 2 3 x
27409,-5*y^2 + 2*y' = 0,add mul -5 pow y 2 mul 2 y',-2/(c + 5*x),div -2 add c mul 5 x
27410,x*y' - y - 8 = 0,add sub -8 y mul x y',c*x - x/cos(5) - 8,add add -8 mul c x div mul -1 x cos 5
27411,2*x + y*y' - 1 = 0,add add -1 mul 2 x mul y' y,sqrt(c - 2*x^2 + 2*x),sqrt add add c mul -2 pow x 2 mul 2 x
27412,6*3^(x/6)*y' + ln(3) = 0,add mul mul 6 pow 3 mul div 1 6 x y' log 3,c + 3^(-x/6),add c pow 3 mul div -1 6 x
27413,5*y' + 23 = 0,add 23 mul 5 y',c - 23*x/5,add c mul div -23 5 x
27414,x*y' - y*ln(-y) + y*ln(2) = 0,add add mul x y' mul y log 2 mul mul -1 y log mul -1 y,-2*2^x*e^(c*x),mul mul -2 pow 2 x exp mul c x
27415,x^2 + x*y' - y + 4 = 0,add sub add 4 pow x 2 y mul x y',c*x - x^2 + 4,add sub 4 pow x 2 mul c x
27416,-5*x^4*(2 - x)^4 + 4*x^3*(2 - x)^5 + y' = 0,add add mul mul -5 pow x 4 pow sub 2 x 4 mul mul 4 pow x 3 pow sub 2 x 5 y',c - x^4*(2 - x)^5,add c mul mul -1 pow x 4 pow sub 2 x 5
27417,50*y' + 49 = 0,add 49 mul 50 y',c - 49*x/50,add c mul div -49 50 x
27418,x^2*y' - 9 = 0,add -9 mul pow x 2 y',c + (x - 9)/x,add c mul pow x -1 add -9 x
27419,3^x*x*ln(3) - 3^x + x*y' - y = 0,add add sub mul -1 pow 3 x y mul x y' mul mul x pow 3 x log 3,-3^x + c*x,add mul -1 pow 3 x mul c x
27420,x^2*y' + 9 = 0,add 9 mul pow x 2 y',(c*x - x + 9)/x,mul pow x -1 add sub 9 x mul c x
27421,3*cos(3*x - 9) + y' = 0,add mul 3 cos add -9 mul 3 x y',c - sin(3*x - 9),sub c sin add -9 mul 3 x
27422,x^2 + x*e^(y)*y' - e^(y) = 0,add sub pow x 2 exp y mul mul x y' exp y,ln(c*x + x*(3 - x)),log add mul c x mul x sub 3 x
